,Mean,2.5q,97.5q
v_subj(friend_self).5,2.4551452120846307,2.2803079629104537,2.5862054870916493
v_subj(friend_self).6,2.4722697986473428,2.3131424984690123,2.6201943569797304
v_subj(friend_self).7,2.483899828588347,2.337389663693878,2.6501764248181408
v_subj(friend_self).8,2.4658786560950348,2.309014453891594,2.608819702052286
v_subj(friend_self).9,2.4547793674739693,2.28457208376248,2.5928422744999917
v_subj(friend_self).10,2.4629222362667504,2.300296220416042,2.603585046714857
v_subj(friend_self).11,2.4606578744325733,2.293758124763878,2.5999744096466566
v_subj(friend_self).12,2.455371364832687,2.284463408788727,2.5906727525722086
v_subj(friend_self).13,2.455545080996608,2.287645654556135,2.5866043050918224
v_subj(friend_self).14,2.4611685710586735,2.2930826080262734,2.6000782996228193
v_subj(friend_self).15,2.467957750097399,2.3066187968071135,2.6140670670701978
v_subj(friend_self).16,2.4698598165002443,2.3160482320417324,2.618037499808581
v_subj(friend_self).17,2.4796741550615082,2.3299985329057353,2.640679111264596
v_subj(friend_self).18,2.462801173818955,2.3033637625107066,2.6058862222403087
v_subj(friend_self).19,2.4757310581937624,2.317701126477802,2.6336914229070563
v_subj(friend_self).20,2.4652424878789816,2.300528210050674,2.6096474564692853
v_subj(friend_self).21,2.441031711541677,2.2548068414964924,2.5670842208081863
v_subj(friend_self).22,2.477006170754212,2.329992184791849,2.6307020849866953
v_subj(friend_self).23,2.457968812188308,2.2938292415006525,2.592138886400426
v_subj(friend_self).24,2.431566077603151,2.230079185904518,2.558318252238191
v_subj(friend_self).25,2.45255853379457,2.2831327044603866,2.583945392570324
v_subj(friend_self).26,2.4773905216108107,2.3249704134072022,2.641170938291191
v_subj(friend_self).27,2.470988588310277,2.320838994051207,2.6210490336219068
v_subj(friend_self).28,2.4697253571689632,2.311315852104416,2.623444965651147
v_subj(friend_self).29,2.4509394324693887,2.2731254957909397,2.5831803502176807
v_subj(friend_self).30,2.469848050201314,2.3110092539726197,2.6170732491776247
v_subj(friend_self).31,2.4761340126105735,2.325012362741911,2.6262949935794753
v_subj(self_friend).0,-2.2312803571129316,-2.396938392765571,-2.05316009452889
v_subj(self_friend).1,-2.2476312035194312,-2.4135290953958073,-2.088258312708173
v_subj(self_friend).2,-2.249180462913633,-2.409000096017742,-2.0934628354408553
v_subj(self_friend).3,-2.25840368888764,-2.427331737486094,-2.1094383997921455
